164,116.344,39.882,乐城
165,116.347,39.882,嘉莲苑
166,116.353,39.882,新德园
167,116.357,39.882,中彩大厦
168,116.368,39.882,新安中里小区
169,116.376,39.882,宣师一附小
170,116.379,39.882,里仁街
171,116.381,39.882,北京市十五中
172,116.392,39.882,陶然亭公园管理处
173,116.415,39.883,内坛
174,116.419,39.883,圜丘
175,116.425,39.883,天坛东里小学
176,116.428,39.883,北玻大厦
177,116.434,39.883,长青园小区
178,116.439,39.883,龙潭西湖公园
179,116.343,39.876,蓝调国际公馆
180,116.344,39.876,润华羽毛球馆
181,116.348,39.876,金泰城
182,116.353,39.877,天伦北里小区
183,116.358,39.877,中国消防博物馆
184,116.368,39.877,右安门内西街甲二号院
185,116.376,39.877,北京监狱管理局
186,116.381,39.878,标本园
187,116.391,39.875,永定门长途汽车站
188,116.394,39.875,陶然桥
189,116.415,39.879,永定门东街中里
190,116.419,39.88,天坛南里东区
191,116.422,39.88,北京现代职业学校
192,116.428,39.88,玉蜓公园
193,116.44,39.88,北京教学植物园
194,116.415,39.878,百万庄园写字楼
195,116.439,39.875,芳城园
196,116.343,39.872,丽泽商务区
197,116.342,39.867,万泉寺小学
198,116.348,39.867,万泉寺南里
199,116.358,39.868,首都医科大学国际学院
200,116.368,39.869,右安门外国语学校
201,116.382,39.87,北京南站
202,116.392,39.87,洋桥北里小区
203,116.407,39.871,东城区第一人民医院
204,116.415,39.872,景泰站
205,116.415,39.87,新奥洋房
206,116.415,39.868,东城区人民法院
207,116.424,39.868,刘家窑南里
208,116.433,39.868,中乐六星酒店
209,116.436,39.869,芳群园
210,116.438,39.871,北京方庄购物中心
211,116.302,39.961,南长河公园
212,116.303,39.955,车道沟
213,116.304,39.949,车道沟南里
214,116.304,39.944,银泉大厦
215,116.304,39.941,宝联体育公园
216,116.307,39.944,富丽小区
217,116.307,39.95,北京化工大学西校区
218,116.311,39.956,中国青年政治学院
219,116.318,39.945,中国国家画院
220,116.318,39.95,广源大厦
221,116.317,39.955,万寿寺
222,116.315,39.966,苏州桥
223,116.32,39.966,北京理工大学
224,116.328,39.966,北京理工大学主楼
225,116.329,39.961,魏公村
226,116.329,39.956,中央民族大学
227,116.33,39.951,中国国家图书馆
228,116.333,39.966,中国农民大学
229,116.337,39.961,大慧寺
230,116.34,39.957,高梁桥斜街
231,116.347,39.966,中央财经大学
232,116.349,39.966,中央财经大学图书馆
233,116.349,39.957,北京交通大学
234,116.349,39.95,北京动物园
235,116.35,39.947,北京展览馆
236,116.355,39.966,冶建院社区
237,116.355,39.956,北京交通大学土木楼
238,116.355,39.951,北京交通大学东校区南门
239,116.357,39.948,西直门
240,116.36,39.967,北邮西门
241,116.364,39.966,北京邮电大学
242,116.365,39.956,索家坟小区
243,116.365,39.951,北京北站
244,116.365,39.95,国际商会大厦
245,116.374,39.967,北京师范大学
246,116.374,39.961,志强北园
247,116.373,39.957,志强南园
248,116.373,39.95,工商联
249,116.382,39.967,北师大附中
250,116.382,39.961,德胜国际中心
251,116.376,39.95,北京教育学院附属中学
252,116.388,39.967,北广家园
253,116.389,39.962,六铺炕
254,116.389,39.956,德胜门桥
255,116.389,39.95,什刹海
256,116.396,39.967,黄寺南里
257,116.396,39.962,华信电力大厦
258,116.401,39.967,荣宝大厦
259,116.402,39.961,教师大厦
260,116.402,39.958,洪都商务中心
261,116.402,39.956,鼓楼大街
262,116.402,39.95,3+1精品酒店
263,116.412,39.968,柳荫公园
264,116.412,39.961,青年湖公园
265,116.412,39.958,安定门中医药
266,116.412,39.956,安定门
267,116.418,39.968,安信大厦
268,116.419,39.961,地坛公园
269,116.419,39.958,地坛公园南门
270,116.419,39.956,定安门
271,116.425,39.968,安源大厦
272,116.43,39.968,煤炭大厦
273,116.435,39.965,北京市一七一中学
274,116.431,39.962,北京市四十五中学
275,116.429,39.958,强佑大厦
